sample_id,token_index,token_text,start_sec,end_sec,audio_start_idx,audio_end_idx,video_start_idx,video_end_idx,audio_start_ms,audio_end_ms,video_start_frame_src,video_end_frame_src,video_start_ms,video_last_pts_ms,video_end_ms,audio_analysis_frame_count,video_sampled_frame_count,audio_quality,video_quality,confidence,method,is_fallback,alignment_source
-3g5yACwYnA$_$13,0,They've,0.0,0.5833333333333334,0,9333,0,6,0.0,583.3333333333334,0,16,0.0,500.0,533.3333333333334,56,6,1.0,1.0,1.0,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,1,been,0.5833333333333334,0.9166666666666666,9333,14667,6,10,583.3333333333334,916.6666666666666,18,28,600.0,900.0,933.3333333333334,31,4,1.0,1.0,1.0,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,2,able,0.9166666666666666,1.25,14667,20000,10,13,916.6666666666666,1250.0,30,37,1000.0,1200.0,1233.3333333333333,31,3,1.0,0.75,0.75,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,3,to,1.25,1.4166666666666667,20000,22667,13,15,1250.0,1416.6666666666667,39,43,1300.0,1400.0,1433.3333333333333,15,2,1.0,1.0,1.0,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,4,find,1.4166666666666667,1.75,22667,28000,15,18,1416.6666666666667,1750.0,45,52,1500.0,1700.0,1733.3333333333333,31,3,1.0,0.75,0.75,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,5,solutions,1.75,2.5,28000,40000,18,25,1750.0,2500.0,54,73,1800.0,2400.0,2433.3333333333335,73,7,1.0,0.875,0.875,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,6,or,2.5,2.6666666666666665,40000,42667,25,27,2500.0,2666.6666666666665,75,79,2500.0,2600.0,2633.3333333333335,15,2,1.0,1.0,1.0,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,7,at,2.6666666666666665,2.8333333333333335,42667,45333,27,29,2666.6666666666665,2833.3333333333335,81,85,2700.0,2800.0,2833.3333333333335,15,2,1.0,1.0,1.0,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,8,least,2.8333333333333335,3.25,45333,52000,29,33,2833.3333333333335,3250.0,87,97,2900.0,3200.0,3233.3333333333335,40,4,1.0,0.8,0.8,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,9,bring,3.25,3.6666666666666665,52000,58667,33,37,3250.0,3666.6666666666665,99,109,3300.0,3600.0,3633.3333333333335,40,4,1.0,0.8,0.8,proportional,True,transcript_proportional
-3g5yACwYnA$_$13,10,some,3.6666666666666665,4.0,58667,64000,37,40,3666.6666666666665,4000.0,111,118,3700.0,3900.0,3933.3333333333335,31,3,1.0,0.75,0.75,proportional,True,transcript_proportional
