sample_id,modality,source_path,container_declared_duration_sec,container_effective_duration_sec,decoded_timeline_duration_sec,stream_duration_sec,sample_rate_hz,source_fps,sampled_fps,raw_shape,feature_dim,native_granularity,aligned_granularity,sequence_length,valid_position_count,padding_position_count,alignment_method,feature_path,unaligned_feature_path,face_detection_rate,feature_sha256,status,warnings,unaligned_feature_sha256
-3g5yACwYnA$_$13,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,8.767,5.513997,5.5,5.5,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,15,15,35,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-3g5yACwYnA$_$13,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,8.767,5.513997,5.5,5.399125,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,15,15,35,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$13,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,8.767,5.513997,5.5,5.5,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,15,15,35,proportional,q1_features.npz,q1_features_unaligned.npz,1.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$3,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,19.273,14.388997,14.366666666666667,14.366666666666667,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,29,29,21,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-3g5yACwYnA$_$3,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,19.273,14.388997,14.366666666666667,14.327875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,29,29,21,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$3,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,19.273,14.388997,14.366666666666667,14.366666666666667,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,29,29,21,proportional,q1_features.npz,q1_features_unaligned.npz,1.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$2,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,14.234,9.39401,9.366666666666667,9.366666666666667,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,14,14,36,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-3g5yACwYnA$_$2,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,14.234,9.39401,9.366666666666667,9.2313125,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,14,14,36,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$2,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,14.234,9.39401,9.366666666666667,9.366666666666667,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,14,14,36,proportional,q1_features.npz,q1_features_unaligned.npz,1.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$9,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,16.234,8.816992,8.8,8.8,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,21,21,29,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
