modality,dimension,valid_position_count,mean,std,min,max,zero_variance
text,0,1917,0.03605246,0.0708648,-0.39321393,0.46446264,False
text,1,1917,0.4463475,0.20480095,-0.15690002,0.8241129,False
text,2,1917,0.03270925,0.12001673,-0.40465444,0.83762056,False
text,3,1917,0.007914738,0.07919804,-0.40491635,0.6825352,False
text,4,1917,0.02935956,0.13292053,-0.495426,0.70604545,False
text,5,1917,0.0019920336,0.047744785,-0.3398087,0.34928864,False
text,6,1917,-0.0005339833,0.04593208,-0.34928864,0.3230321,False
text,7,1917,0.015214426,0.0930601,-0.3765518,0.39175388,False
text,8,1917,0.0020604178,0.049101435,-0.51617676,0.37274933,False
text,9,1917,-0.0055737854,0.0642065,-0.38223803,0.36821532,False
text,10,1917,0.010574457,0.07828496,-0.319677,0.4725844,False
text,11,1917,-0.0033147812,0.052067835,-0.5227209,0.35459793,False
text,12,1917,-0.026042253,0.104496896,-0.46457887,0.39175388,False
text,13,1917,-0.013200551,0.07909439,-0.53901505,0.31976432,False
text,14,1917,0.005108607,0.08026629,-0.32972476,0.68949026,False
text,15,1917,0.008762576,0.069123104,-0.34958237,0.57369894,False
text,16,1917,0.0007370579,0.050312135,-0.35514578,0.4471957,False
text,17,1917,0.01990258,0.10002079,-0.37522352,0.51073444,False
text,18,1917,-0.0014334072,0.0611475,-0.35097602,0.39777464,False
text,19,1917,0.044011533,0.11517955,-0.34775713,0.6798687,False
text,20,1917,-0.002573855,0.055759493,-0.50066054,0.3465377,False
text,21,1917,-0.004846879,0.0621471,-0.44954067,0.49779826,False
text,22,1917,-0.0028431823,0.051451992,-0.40491635,0.34749153,False
text,23,1917,0.0003152432,0.04540438,-0.4676891,0.32623193,False
text,24,1917,-0.028427219,0.104829,-0.6140065,0.37557852,False
text,25,1917,-0.004106033,0.077517346,-0.4016365,0.51026607,False
text,26,1917,0.0014508732,0.053547714,-0.34883082,0.34095275,False
text,27,1917,-0.007005312,0.06289699,-0.6819055,0.36253932,False
text,28,1917,-0.0010309076,0.05242753,-0.43240798,0.569591,False
text,29,1917,-0.02325615,0.088120945,-0.48387468,0.35769993,False
text,30,1917,0.0014491925,0.052280802,-0.48748598,0.4486487,False
text,31,1917,-0.001995062,0.050725807,-0.41273913,0.3985077,False
text,32,1917,-0.01030194,0.08085416,-0.59569746,0.40030116,False
text,33,1917,-0.0056658257,0.115417175,-0.48429954,0.41866574,False
text,34,1917,0.019389132,0.09292329,-0.58185434,0.57426775,False
text,35,1917,0.009973842,0.08298226,-0.38694835,0.40432614,False
text,36,1917,-0.0011847316,0.04614996,-0.3762651,0.35459793,False
text,37,1917,0.009077832,0.101663575,-0.48387468,0.5591058,False
text,38,1917,0.0035033468,0.054985087,-0.37445635,0.40371186,False
text,39,1917,0.0028901072,0.05430044,-0.34461412,0.37442508,False
text,40,1917,-0.0036063688,0.07224337,-0.5385849,0.37387845,False
text,41,1917,0.0077601634,0.06848554,-0.5896362,0.3515249,False
text,42,1917,-0.0014115722,0.04922787,-0.34928864,0.45307297,False
text,43,1917,0.0038317074,0.04983243,-0.36513376,0.37100276,False
text,44,1917,-0.005899945,0.07073398,-0.61455023,0.5943554,False
text,45,1917,0.0056238654,0.07143918,-0.3666104,0.47336647,False
text,46,1917,0.00055968907,0.077011,-0.43240798,0.3758134,False
text,47,1917,0.014564552,0.087606035,-0.3762651,0.574039,False
text,48,1917,0.0005598384,0.046530385,-0.31862003,0.46166113,False
text,49,1917,-0.0078667905,0.0916781,-0.4054575,0.72168785,False
text,50,1917,0.0021740915,0.046637863,-0.3313018,0.4744363,False
text,51,1917,0.005563071,0.067608625,-0.52058,0.62212205,False
text,52,1917,-0.0014940016,0.053591214,-0.55098575,0.37557852,False
text,53,1917,-0.013800063,0.07286256,-0.4762468,0.45301464,False
text,54,1917,-0.0001394458,0.051214524,-0.36253932,0.37775603,False
text,55,1917,-0.0060795518,0.051945385,-0.37557852,0.3238842,False
text,56,1917,-0.0023239083,0.067431614,-0.40267405,0.43904725,False
text,57,1917,0.0031276122,0.043325417,-0.29261044,0.5127959,False
text,58,1917,0.006031727,0.07128644,-0.34095275,0.3506894,False
text,59,1917,-0.0072384966,0.0795695,-0.62735194,0.40310127,False
text,60,1917,-0.0004357949,0.06005565,-0.40884772,0.37274933,False
text,61,1917,-0.016440075,0.09613124,-0.66163355,0.34958437,False
text,62,1917,-0.003349436,0.049286373,-0.3342204,0.40465444,False
text,63,1917,-0.013291814,0.07515388,-0.62518317,0.36195788,False
text,64,1917,-0.004305947,0.05215189,-0.58758044,0.3257321,False
text,65,1917,0.0020202298,0.08161117,-0.36531195,0.34928864,False
text,66,1917,0.010205311,0.06462033,-0.3234889,0.37442508,False
text,67,1917,-0.021579942,0.08974626,-0.63234174,0.6018703,False
text,68,1917,0.0019538102,0.056850012,-0.37094426,0.39292884,False
text,69,1917,-0.017874042,0.10205405,-0.47984645,0.51736647,False
text,70,1917,0.00683186,0.084522404,-0.40286595,0.6482212,False
text,71,1917,0.020073691,0.099772565,-0.55377805,0.59078985,False
text,72,1917,0.0018142313,0.07343028,-0.37387845,0.37205753,False
text,73,1917,0.009069722,0.0717204,-0.4016365,0.5014676,False
text,74,1917,0.0005881958,0.05276109,-0.48229218,0.44139707,False
text,75,1917,0.0057445676,0.07608845,-0.38431117,0.39204714,False
text,76,1917,-0.016044075,0.09432963,-0.6133815,0.36428726,False
text,77,1917,-0.0015521647,0.04959878,-0.3518701,0.52366877,False
text,78,1917,0.0047433674,0.06655256,-0.3440292,0.5185643,False
