sample_id,reference_split,modality,common_position_count,common_rank,centered_linear_cka,procrustes_residual,status,status_reason
-AUZQgSxyPQ$_$2,test,text,41,40,0.5897594059291276,0.9293467992342228,ok,none
-AUZQgSxyPQ$_$2,test,audio,41,29,0.01710239769299117,0.9931953486058941,ok,none
-AUZQgSxyPQ$_$2,test,vision,41,29,0.09355496593496657,0.9924789852175105,ok,none
-HeZS2-Prhc$_$2,test,text,16,15,0.8369505946399077,0.9206498175410337,ok,none
-HeZS2-Prhc$_$2,test,audio,16,15,0.14383789933343333,0.9664282128086925,ok,none
-HeZS2-Prhc$_$2,test,vision,16,15,0.1486305686645082,0.9503825723965031,ok,none
-HwX2H8Z4hY$_$9,train,text,22,21,0.6977125636474657,0.92756451259576,ok,none
-HwX2H8Z4hY$_$9,train,audio,22,19,0.04679492688320012,0.9699456643122775,ok,none
-HwX2H8Z4hY$_$9,train,vision,21,13,0.13158773076869215,0.9763421919697559,ok,none
-MeTTeMJBNc$_$0,test,text,21,20,0.7248968922418619,0.9331421518605256,ok,none
-MeTTeMJBNc$_$0,test,audio,21,16,0.2575696938358948,0.9039009373031102,ok,none
-MeTTeMJBNc$_$0,test,vision,21,16,0.8233065745993265,0.6774865809477191,ok,none
-RfYyzHpjk4$_$2,test,text,25,24,0.6455835775873563,0.9333906237295388,ok,none
-RfYyzHpjk4$_$2,test,audio,25,21,0.03293097296676271,0.9910290379840394,ok,none
-RfYyzHpjk4$_$2,test,vision,22,18,0.08993852945673667,0.9784119846918421,ok,none
-THoVjtIkeU$_$2,train,text,10,9,0.816932550719049,0.9254643827749476,ok,none
-THoVjtIkeU$_$2,train,audio,10,9,0.32133239026387556,0.917203531788821,ok,none
-THoVjtIkeU$_$2,train,vision,10,9,0.47748687318549793,0.9515141484659084,ok,none
-a55Q6RWvTA$_$3,train,text,50,49,0.5360091821506576,0.9394056532084221,ok,none
-a55Q6RWvTA$_$3,train,audio,50,39,0.06767346407998569,0.9851744919915629,ok,none
-a55Q6RWvTA$_$3,train,vision,49,30,0.05045083295270699,0.9938649982072866,ok,none
-aqamKhZ1Ec$_$0,train,text,14,13,0.7530328255387134,0.9256035796316504,ok,none
-aqamKhZ1Ec$_$0,train,audio,14,12,0.14370929247072398,0.9728969618105889,ok,none
-aqamKhZ1Ec$_$0,train,vision,13,11,0.153120777269702,0.937654779600105,ok,none
-dxfTGcXJoc$_$0,train,text,41,40,0.5448885484826808,0.944202899011881,ok,none
-dxfTGcXJoc$_$0,train,audio,41,28,0.13830580166062145,0.9822096608847639,ok,none
-dxfTGcXJoc$_$0,train,vision,41,28,0.25721965446311257,0.9726160669717896,ok,none
-dxfTGcXJoc$_$6,train,text,27,26,0.7025879193622048,0.9334121000739574,ok,none
-dxfTGcXJoc$_$6,train,audio,27,22,0.035199477067466046,0.9928138991652755,ok,none
-dxfTGcXJoc$_$6,train,vision,25,20,0.04250491721537478,0.9835830156975334,ok,none
-lzEya4AM_4$_$6,train,text,43,42,0.5205045803207804,0.9393110718327993,ok,none
-lzEya4AM_4$_$6,train,audio,43,38,0.0028403225916101907,1.0836603322420817,ok,none
-lzEya4AM_4$_$6,train,vision,42,35,0.35306555903222764,0.8886252184434255,ok,none
-mJ2ud6oKI8$_$9,train,text,22,21,0.6988092041487545,0.9356669452130175,ok,none
-mJ2ud6oKI8$_$9,train,audio,22,16,0.09882383185272432,0.9627557905101587,ok,none
-mJ2ud6oKI8$_$9,train,vision,21,16,0.08925681961639417,0.9746775901198352,ok,none
-s9qJ7ATP7w$_$5,test,text,19,18,0.7533309108589988,0.9303065577292984,ok,none
-s9qJ7ATP7w$_$5,test,audio,19,17,0.06345471194131672,0.9670680352333795,ok,none
-s9qJ7ATP7w$_$5,test,vision,19,8,0.18140615103947252,0.9740214485203028,ok,none
-s9qJ7ATP7w$_$6,test,text,5,4,0.9238907736242552,0.9275004217738528,ok,none
-s9qJ7ATP7w$_$6,test,audio,5,4,0.16837087378000673,0.9571305754136175,ok,none
-s9qJ7ATP7w$_$6,test,vision,4,0,,,insufficient_variation,reference_representation_constant
-tPCytz4rww$_$16,train,text,16,15,0.7037514714804018,0.9271239519529608,ok,none
-tPCytz4rww$_$16,train,audio,16,15,0.04571654505548718,0.9827279797746526,ok,none
-tPCytz4rww$_$16,train,vision,15,14,0.05751021932474248,0.9896070512897319,ok,none
-wny0OAz3g8$_$0,train,text,9,8,0.8323290611865151,0.9226493940357835,ok,none
-wny0OAz3g8$_$0,train,audio,9,6,0.6614732150476379,0.8921969119976914,ok,none
-wny0OAz3g8$_$0,train,vision,8,5,0.14708365072885463,0.9620966019106031,ok,none
-wny0OAz3g8$_$5,train,text,20,19,0.6954938409297884,0.9290136684773959,ok,none
-wny0OAz3g8$_$5,train,audio,20,15,0.14153128847983465,0.960203855170265,ok,none
-wny0OAz3g8$_$5,train,vision,18,14,0.12457205437785052,0.9597106725488231,ok,none
-yRb-Jum7EQ$_$1,test,text,49,48,0.4655960245330401,0.9405328921278042,ok,none
-yRb-Jum7EQ$_$1,test,audio,49,43,0.007685410240767078,1.115233005371348,ok,none
-yRb-Jum7EQ$_$1,test,vision,49,35,0.03883140835654666,0.9813016879386933,ok,none
__aggregate__,mixed,text,450,128,0.2091078389091258,0.9706672294515424,ok,none
__aggregate__,mixed,audio,450,70,0.08137865481817938,0.9649787400600514,ok,none
__aggregate__,mixed,vision,435,35,0.030744755179023767,0.9821512265112005,ok,none
